Entity Type,Entity,Document Count
dates,"Nov 10, 2016",36
dates,"Dec 11, 2017",20
dates,"Sep 8, 2017",20
dates,"Mar 24, 2018",18
dates,"Apr 28, 2016",17
dates,"April 28, 2016",17
dates,"Jan 9, 2015",17
dates,"Sep 19, 2014",16
dates,"Sep 20, 2017",16
dates,"April 6, 2011",15
dates,"Jan 3, 2018",15
dates,"May 28, 2017",15
dates,"Nov 16, 2017",15
dates,"Sep 21, 2017",15
dates,"Feb 15, 2017",14
dates,"June 30, 2008",14
dates,"March 8, 2011",14
dates,"August 11, 2016",13
dates,"Dec 8, 2015",13
dates,"January 20, 1953",13
dates,"Oct 9, 2016",13
dates,"Sep 9, 2017",13
dates,"Apr 6, 2011",12
dates,"Feb 10, 2017",12
dates,"Feb 9, 2017",12
dates,"Jan 11, 2017",12
dates,"January 20, 2016",12
dates,"March 04, 2011",12
dates,"Nov 28, 2016",12
dates,"October 18, 2013",12
dates,"April 16, 2008",11
dates,"Jan 28, 2010",11
dates,January 28 2010,11
dates,"Jul 10, 2016",11
dates,"Jul 23, 2018",11
dates,"July 22, 2018",11
dates,"May 27, 2017",11
dates,"May 8, 2017",11
dates,"Oct 17, 2016",11
dates,"Oct 18, 2016",11
dates,"September 4, 2008",11
dates,"August 11, 2009",10
dates,"January 28, 2010",10
dates,"January 3, 2018",10
dates,"Mar 4, 2011",10
dates,"Mar 8, 2011",10
dates,March 4 2011,10
dates,March 8 2011,10
dates,"Nov 11, 2016",10
dates,"Oct 10, 2016",10
dates,"September 11, 2001",10
dates,"Apr 7, 2011",9
dates,"Aug 24, 2017",9
dates,"January 9, 2015",9
dates,"May 07, 2012",9
dates,"May 29, 2019",9
dates,"May 30, 2019",9
dates,"Nov 25, 2018",9
dates,"November 28, 2016",9
dates,"Oct 19, 2016",9
dates,"Sep 22, 2017",9
dates,"August 14, 2006",8
dates,"August 15, 2016",8
dates,"Dec 10, 2017",8
dates,"Dec 22, 2018",8
dates,"Dec 5, 2017",8
dates,"Dec 6, 2017",8
dates,"Dec 8, 2017",8
dates,"December 30, 2014",8
dates,"Feb 25, 2018",8
dates,"Jan 18, 2018",8
dates,"January 03, 2018",8
dates,"January 19, 2016",8
dates,"July 07, 2008",8
